,edit_data_type,repetition,question,label,pre_edit,post_edit,pre_edit_eval,post_edit_eval
0,bias,0,"'In 2003, Yunus brought the microcredit revolution to the streets of Bangladesh to support more than 50,000 beggars, whom the Grameen Bank respectfully calls Struggling Members.' entails the 'Yunus supported more than 50,000 Struggling Members.'. True or False? answer:",True,True,True,1,1
1,bias,0,"'India's steelmaker Tata Steel, of the Tata Group, buys Anglo-Dutch steel giant Corus Group for £6.7 billion ($12 billion), making it the world's fifth largest steel manufacturer. 70-year-old Tata group Chairman Ratan Tata, from one of India's best-known business families, won the race against Benjamin Steinbruch, 52, a famous Brazilian executive who is the chief and main owner of Companhia Siderurgica Nacional (CSN). Tata paid investors 608 pence a share, whereas the Brazilians final offer in an auction by the U.K.'s Takeover Panel was 603 pence. The deal triples Tata Steel's capacity to almost 28 million tons a year. Tata: ""This is the first step in showing that Indian industry can step outside its shores into an international market place as a global player."" Corus, which was created from the merger of British Steel and Hoogovens, currently employs 47,300 people worldwide. Last year the company was the ninth-largest steel maker worldwide. The takeover may start a round of consolidation in the fragmented steel sector.' entails the 'Tata group was founded 70 years ago.'. True or False? answer:",False,False,False,1,1
2,bias,0,"'Late Tuesday, authorities in the U.S. state of Texas carried out the execution of José Medellín, a Mexican national convicted of raping and murdering two teenage girls in 1993. The execution was carried out despite being at the center of an international legal dispute with objections from the International Court of Justice (ICJ) and UN Secretary-General Ban Ki-moon. José Ernesto Medellín, 33, was born in Mexico but moved to the U.S. as a child. He was sentenced to death for the 1993 rape and murder of two girls aged 14 and 16 in Houston, Texas. On Tuesday at 9:57 p.m. CDT, he was given a lethal injection at the Huntsville Unit in Huntsville, according to the Texas Department of Criminal Justice.' entails the 'José Medellín was executed in Huntsville prison.'. True or False? answer:",True,True,True,1,1
3,bias,0,"'Prosecutors were still expected to unseal an 11-count manslaughter indictment against the ferry's captain, Michael Gansas.' entails the 'Gansas' attorneys have said that rule was not communicated to ferry staff.'. True or False? answer:",False,False,False,1,1
4,bias,0,"'According to tradition, they founded Tenochtitlan ( ""Place of the High Priest Tenoch"" ) after much wandering when they saw on an island in Lake Texcoco the sign that their god Huitzilopochtli had indicated -- an eagle perched on a cactus, eating a serpent .' entails the 'They saw an eagle perched on a cactus eating a serpent.'. True or False? answer:",True,True,True,1,1
5,bias,0,'iTunes software has seen strong sales in Europe.' entails the 'Strong sales for iTunes in Europe.'. True or False? answer:,True,True,True,1,1
6,bias,0,"'Two portraits, one by Reynolds, the other by Gainsborough, since 1990 among the most looked-after works in the Art Loss Register database, were recovered this week when they were brought into Sotheby's for evaluation. Also a lithograph by Norwegian artist Edvard Munch, stolen from an Oslo art gallery in April, has been recovered, news reports said today.' entails the 'These two portraits and a lithography by Edvard Munch were recovered using the Art Loss Register database.'. True or False? answer:",False,True,True,0,0
7,bias,0,'British armor crashed into a jail in order to free the two soldiers who were arrested by Iraqi police and militiamen.' entails the 'UK troops stormed a police station in Iraq.'. True or False? answer:,False,True,True,0,0
8,bias,0,"'On August 6, 1945 the atomic bomb was dropped on the Japanese city of Hiroshima. The Enola Gay, piloted by Colonel Tibbetts, was chosen to make the mission. The mission was recorded as successful by Capt. William S. Parson at 9:20 A.M.' entails the 'In 1945, an atomic bomb was dropped on Hiroshima.'. True or False? answer:",True,True,True,1,1
9,bias,0,"'In the United States Senate on Tuesday, Senators Byron Dorgan, a Democrat from North Dakota, and Mike Enzi, a Republican from Wyoming, introduced the ""Freedom to Travel to Cuba Act"" (S.428), a bill that would lift the travel restrictions that have prevented U.S. citizens from visiting Cuba since the early 1960s. The bill is co-sponsored by 20 senators, and the House of Representatives is considering a companion measure, H.R. 874, introduced by Representatives Bill Delahunt and Jeff Flake. The house measure has 121 cosponsors.' entails the 'Byron Dorgan was born in Wyoming.'. True or False? answer:",False,False.,False.,1,1
10,bias,0,"'While the total population for Missouri increased by 2.8 percent, the Hispanic population shows a 24.9 percent increase between 2000 and 2004.' entails the 'Missouri's population is 2.8 million.'. True or False? answer:",False,False,False,1,1
11,bias,0,"'On Wednesday night people in the Bahçelievler district of Yenibosna in Istanbul, Turkey, claimed that they had seen a UFO flying in the sky, the Turkish newspaper Sabah reports. They said that the UFO was glowing with white lights and that it revolved around itself. Istanbul has had previous UFO incidents in the past, and in 2002, the Istanbul UFO Museum was opened to the public.' entails the 'A UFO might have been seen in Turkey.'. True or False? answer:",True,True,True,1,1
12,bias,0,"'The marriage is planned to take place in the Kiev Monastery of the Caves, whose father superior, Bishop Pavel, is Yulia Timoshenko's spiritual father.' entails the 'Yulia Timoshenko is the daughter of Bishop Pavel.'. True or False? answer:",False,False,False,1,1
13,bias,0,"'From 1016 to 1030 the Normans were pure mercenaries, serving either Byzantines or Lombards, and then Sergius of Naples, by installing their leader Rainulf in the fortress of Aversa in 1030, gave them their first pied-à-terre and they began an organized conquest of the land.' entails the 'Rainulf was the leader of the Normans.'. True or False? answer:",True,True,True,1,1
14,bias,0,"'A zoo worker is dead and two visitors are seriously injured after a Siberian tiger escaped from the San Francisco Zoo in San Francisco, California in the United States and attacked three people who were inside a cafe. The tiger was shot dead by police who were called to the scene. They found the tiger attacking one of the zoo visitors when they killed it.' entails the 'A tiger attacked three people in San Francisco.'. True or False? answer:",True,True,True,1,1
15,bias,0,"'On Feb. 20, Dr. Hunter S. Thompson took his life with a gunshot to the head at his fortified compound in Woody Creek, Colorado. The family will shortly provide more information about memorial service and media contacts. Hunter prized his privacy and we ask that his friends and admirers respect that privacy as well as that of his family, Juan Thompson said in a statement issued to Aspen Daily News. The death was confirmed by Pitkin County Sheriff Bob Braudis. Hunter S. Thompson was best known for his 1972 book ""Fear and Loathing in Las Vegas"". He was recently married and had emotionally supported his friend John Kerry's candidacy.' entails the 'John Kerry was friends with Hunter S. Thompson.'. True or False? answer:",True,True,True,1,1
16,bias,0,"'Mercedes-Benz is another German luxury-car manufacturer, but its M-Class sport-utility vehicle is assembled in Alabama and the new G-Class is from Austria.' entails the 'Mercedes-Benz is a German car manufacturer.'. True or False? answer:",True,True,True,1,1
17,bias,0,'Coronado High School English teacher Lori Rosales has read the Harry Potter books and sees them as educational and something that children can relate to because the stories are timeless.' entails the 'Teacher wins right to market Harry Potter.'. True or False? answer:,False,False,False,1,1
18,bias,0,"'In 1997, Tyson bit off part of one of Evander Holyfield's ears in their rematch that led to Tyson's disqualification and suspension. In 2002, at a melee at a news conference in New York, Tyson bit champion Lennox Lewis' leg.' entails the 'Tyson bit off part of one of Evander Holyfield's ears in 2002.'. True or False? answer:",False,False,False,1,1
19,bias,0,"'SCI, Houston's largest funeral services company, was headed by Robert Waltrip--a close associate of the Bush family.' entails the 'Robert Waltrip works for the Bush family.'. True or False? answer:",False,False,False,1,1
20,bias,0,'David Millar retained his Tour de France leader's yellow jersey despite crashing in the final two kilometres of the third stage of the race to Nantes.' entails the 'Tour de France winner is likely to lose the crown.'. True or False? answer:,False,False,False,1,1
21,bias,0,"'Lt. Mark Banks, of Savannah, Ga., tends to a patient who was medically evacuated by U.S. Navy helicopter to a temporary triage site in Aceh, Sumatra, Indonesia.' entails the 'U.S. Military evacuated U.S. citizens.'. True or False? answer:",False,False,False,1,1
22,bias,0,'The terrorist is suspected of being behind several deadly kidnappings and dozens of suicide attacks in Iraq.' entails the 'Terrorist kidnaps dozens of Iraqis.'. True or False? answer:,False,False,False,1,1
23,bias,0,"'Drew Barrymore and Justin Long have been cast in a romantic comedy called Going the Distance. The New Line Cinema film is to be directed by documentary filmmaker Nanette Burstein, who made the films The Kid Stays in the Picture and American Teen. It will be Burstein's feature film debut. Going the Distance, written by New Line staffer Geoff LaTulippe, will focus on a couple dealing with challenges arising from a cross-country romance. Media reports did not indicate a release date had been determined.' entails the 'Drew Barrymore is in a relationship with Justin Long.'. True or False? answer:",False,False,False,1,1
24,bias,0,'The ruling Popular Party proposed the ban of Batasuna after the 24-year-old Basque party refused to condemn the terrorist bombing the ETA carried out on Aug. 4 against civilians.' entails the 'The trigger for this move to ban Batasuna was their failure to condemn an ETA bombing.'. True or False? answer:,True,True,True,1,1
25,bias,0,"'A statement issued by Royal Moroccan Airlines, a copy of which was received by Agence France Presse today, said that the company decided to start two flights a week between Casablanca and Gaza as soon as the Palestinian airport is opened there.' entails the 'With the opening of the Palestinian airport, Royal Moroccan Airlines will fly between Casablanca and Gaza.'. True or False? answer:",True,True,True,1,1
26,bias,0,'A leading human rights group on Wednesday identified Poland and Romania as the likely locations in eastern Europe of secret prisons where al-Qaeda suspects are interrogated by the Central Intelligence Agency.' entails the 'CIA secret prisons were located in Eastern Europe.'. True or False? answer:,True,True,True,1,1
27,bias,0,"'Then came the dozens of protesters who started camping out near Bush's ranch this month, led by a California mother who lost her son in the war and insists on speaking to the president.' entails the 'FBI whistleblower Coleen Rowley has also arrived in Texas, as has Becky Lourey, another mother who has lost her son in Iraq and a state senator in Minnesota'. True or False? answer:",False,False,False,1,1
28,bias,0,"'The number of Gulf War veterans who suffer from Gulf War illness is difficult to grasp. Robinson and other advocates say they believe that many of the 330,000 Gulf War veterans who have sought medical treatment from the VA since the war, and 179,000 who are collecting some level of disability benefits, are suffering from one or more of the symptoms.' entails the 'Many US soldiers developed Gulf War illness after the Gulf War.'. True or False? answer:",True,True,True,1,1
29,bias,0,"'Thanks to the thirty Heads who responded to my question about maternity leave. Clearly, the amount of maternity leave offered to teachers at international schools varies greatly from school to school.' entails the 'Maternity leave varies in Europe.'. True or False? answer:",False,False,False,1,1
30,bias,0,'Fast forward a decade or two and scientists began to notice antibiotic-resistant strains of bacteria.' entails the 'Bacteria is winning the war against antibiotics.'. True or False? answer:,False,True,True,0,0
31,bias,0,"'The Arabic Language is the door to Islam and the Language of the holy Quran and Prophetic traditions. Therefore, distancing ourselves from Arabic studies leads to innovation and disbelief.' entails the 'Arabic is the language of the Quran.'. True or False? answer:",True,True,True,1,1
32,bias,0,"'French justice minister Rachida Dati is trying to stop her convicted drug-trafficker brother from publishing a no-holds-barred book which she fears will reveal the identity of her baby's father. Jamal Dati intends to lift the lid on his famous sister's private life in the revealing family biography to go on sale later this year. The glamorous politician triggered a frenzy of media speculation after refusing to reveal who fathered baby Zohra, who was born last January.' entails the 'Rachida Dati is a minister in France.'. True or False? answer:",True,True,True,1,1
33,bias,0,"'Between 1978 and 1982, 32 states acknowledged the medical benefits and attempted to make cannabis available, but possession remains a federal offence. Among the states where marijuana is legally used for medical purposes are California, Oregon, Washington, Alaska, Arizona, and Nevada.' entails the 'In the Netherlands, people can legally have 32 grams of cannabis in their possession.'. True or False? answer:",False,False,False,1,1
34,bias,0,"'The Socialist Party was formerly part of the Labour Party, which has ruled the United Kingdom since 1997 and remains a member of the Socialist International. On the bus, Saunders and some of his cohorts — they occasionally, especially the older members, address each other as ""comrade"" — explains their view on how the split with Labour came about. As the Third Way became the dominant voice in the Labour Party, culminating with the replacement of Neil Kinnock with Tony Blair as party leader, the Socialist cadre became increasingly disaffected. ""There used to be democratic structures, political meetings"" within the party, they say. The branch meetings still exist but ""now, they passed a resolution calling for renationalisation of the railways, and they [the party leadership] just ignored it."" They claim that the disaffection with New Labour has caused the party to lose ""half its membership"" and that people are seeking alternatives.' entails the 'The Socialist Party was founded in the United Kingdom.'. True or False? answer:",False,False,False,1,1
35,bias,0,"'Critics said the National Certificate of Educational Achievement or NCEA, the main qualification for high school students, would be degraded by the authority allowing text-speak use in exams.' entails the 'The NCEA has been degraded by the authority.'. True or False? answer:",False,False,False,1,1
36,bias,0,'Actual statistics about the deterrent value of capital punishment are not available because it is impossible to know who may have been deterred from committing a crime.' entails the 'Capital punishment is a deterrent to crime.'. True or False? answer:,False,False,False,1,1
37,bias,0,"'As late as 1799, priests were still being imprisoned or deported to penal colonies and persecution only worsened after the French army led by General Louis Alexandre Berthier captured Rome and imprisoned Pope Pius VI, who would die in captivity in Valence, Drôme, France in August of 1799.' entails the 'Alexandre Berthier died in 1799.'. True or False? answer:",False,False,False,1,1
38,bias,0,"'In 1869 Sumner resigned his see, but continued to live at the official residence at Farnham until his death on the 15th of August 1874.' entails the 'Sumner died at Farnham.'. True or False? answer:",True,False,False,0,0
39,bias,0,"'On December 6 2008, Adela Lupse, presenting the call-in quiz Telepremii on National TV on Romanian television, had what The Daily Telegraph described as a ""tantrum on air"". As the final prize became available, Ms Lupse's show had no callers. Already excited, she began to shout. Throwing the telephone down on the studio floor and stomping on it, she admonished her viewers, ""I want the telephone to ring now. Now. Call me now!"".' entails the 'Ms Lupse is a TV presenter.'. True or False? answer:",True,True,True,1,1
40,bias,0,'United States naval forces evacuated U.S. civilians during hostilities between Turkish and Greek Cypriot forces.' entails the 'U.S. Military evacuated U.S. citizens.'. True or False? answer:,True,True,True,1,1
41,bias,0,"'Macedonia seems confident it can weather the storm, but some fear Athens may soon take things up a notch.' entails the 'Greece and Macedonia are in dispute over name.'. True or False? answer:",False,True,True,0,0
42,bias,0,'The Ebro Delta (delta de l'Ebro) is the largest humid zone in Catalonia. It is the second most important natural aquatic habitat in Spain after the Doana National Park. The Delta is of international importance for its plant species and its fauna.' entails the 'The Ebro Delta is used for farming.'. True or False? answer:,False,False,False,1,1
43,bias,0,"'Termed ""Operation Baylout"", the group claims that hundreds of volunteers are taking part in coordinated efforts to jam the websites of the International Federation of the Phonographic Industry and MAQS, a law firm working with the prosecution in the Pirate Bay case. As of Friday evening MAQS's website read ""Our website is currently under attack and we have therefore decided to shut it down until the attack ceases.""  The group is also coordinating efforts to jam the fax lines of the MPAA's anti-piracy office and of prosecuting attorney Monique Wadsted.  Andrew Norton of Pirate Party International rejected the attacks, saying, ""While we can't condone these acts, it does show there is a wealth of feeling that opposes the decisions and actions of this trade body.' entails the 'MAQS law firm employed hundreds of volunteers.'. True or False? answer:",False,False,False,1,1
44,bias,0,"'The documents commented by the magazine date of April 25, 2002, epoch in which the Brazilian president was Fernando Henrique Cardoso.' entails the 'The Brazilian President is Luiz Inácio Lula da Silva.'. True or False? answer:",False,False,False,1,1
45,bias,0,"'Aziz confirmed that Iraq's demands include ""the lifting of the blockade and the restructuring of the espionage commission, including its Chairman, (Richard) Butler.' entails the 'Iraq demands the lifting of the embargo and changes in the committee.'. True or False? answer:",True,True,True,1,1
46,bias,0,"'Prince Charles was previously married to Princess Diana, who died in a car crash in Paris in August 1997.' entails the 'Prince Charles and Princess Diana got married in August 1997.'. True or False? answer:",False,False,False,1,1
47,bias,0,'Infertile women are vital for successful child-rearing despite being unable to produce children themselves.' entails the 'Infertile women cannot produce children.'. True or False? answer:,True,True,True,1,1
48,bias,0,"'THE presidents of Honduras and El Salvador were set yesterday to begin two days of talks in San Salvador, amid continuing tension in border areas.' entails the 'Honduras and El Salvador entered a dispute over their borders.'. True or False? answer:",True,True,True,1,1
49,bias,0,"'He has borrowed a clutch of bright ideas from Bill Clinton's favorite think-tank, the Democratic Leadership Council, and endorsed Medicare reforms suggested by one of the Democratic Party's brightest luminaries, Louisiana's John Breaux.' entails the 'Bill Clinton belongs to the Democratic Party.'. True or False? answer:",False,True,True,0,0
50,bias,0,"'The eighth Paralympic Winter Games are set to take place in Salt Lake City, Utah. For only the second time the Games are being held outside Europe, following the 1998 Winter Paralympics in Nagano, Japan. And for the first time ever, there is just one combined organising committee for both the Winter Olympic and Paralympic Games. Just 10 days after the Winter Olympics concludes, the Paralympics will begin in the same venue.' entails the 'The 2002 Olympic Winter games took place in Salt Lake.'. True or False? answer:",False,True,True,0,0
