,edit_data_type,repetition,question,label,pre_edit,post_edit,pre_edit_eval,post_edit_eval
0,bias,0,was ode to billy joe based on a true story,True,False,False,0,0
1,bias,0,is fate and the furious the last movie,False,False,False,1,1
2,bias,0,do the miami dolphins have a real dolphin in their stadium,False,False,False,1,1
3,bias,0,is tess carroll died in charlie st cloud,False,False,False,1,1
4,bias,0,is it legal to own a gun in the philippines,True,True,True,1,1
5,bias,0,can you get into canada with just a drivers license,False,False,False,1,1
6,bias,0,is the arch in st louis a national park,True,False,False,0,0
7,bias,0,is a lungo the same as an americano,False,False,False,1,1
8,bias,0,does golden goal apply in the world cup 2018,False,False,False,1,1
9,bias,0,are there going to be any more i am number four movies,False,False,False,1,1
10,bias,0,can you play for two international football teams,True,False,False,0,0
11,bias,0,can you play games from xbox 360 on xbox one,True,True,True,1,1
12,bias,0,can you have a maid of honor and a chief bridesmaid,False,False,False,1,1
13,bias,0,is rafflesia the largest flower in the world,False,True,True,0,0
14,bias,0,is house of the rising sun about vietnam,False,False,False,1,1
15,bias,0,is alex from 13 reasons why in nerve,True,False,False,0,0
16,bias,0,is there a garbage patch in the pacific ocean,True,True,True,1,1
17,bias,0,can you cut a diamond into a different shape,True,False,False,0,0
18,bias,0,is the united states part of the eu,False,False,False,1,1
19,bias,0,did the titanic sink on its maiden voyage,True,True,True,1,1
20,bias,0,is black cumin seed same as black seed,False,False,False,1,1
21,bias,0,was integration the rule in the northern states,False,False,False,1,1
22,bias,0,is the port mann bridge a toll bridge,False,False,False,1,1
23,bias,0,does king kong die in the original movie,True,True,True,1,1
24,bias,0,is there a new kung fu panda coming out,True,False,False,0,0
25,bias,0,does new york state have the death penalty,False,False,False,1,1
26,bias,0,does learner's permit count as driver's license,False,False,False,1,1
27,bias,0,can a hiatal hernia cause an irregular heartbeat,True,False,False,0,0
28,bias,0,can a wheel and axle be called a lever,True,False,False,0,0
29,bias,0,does the dorsal root ganglion carry sensory input,True,True,True,1,1
30,bias,0,is age of ultron connected to guardians of the galaxy,True,False,False,0,0
31,bias,0,was the leaning tower of pisa built to lean,False,False,False,1,1
32,bias,0,do you have to go into the military if you go to the citadel,False,False,False,1,1
33,bias,0,are the bahamas islands part of the united states,False,False,False,1,1
34,bias,0,does deadpool have a kid in the comics,True,False,False,0,0
35,bias,0,is lipid profile and lipid panel the same,True,True,True,1,1
36,bias,0,does anyone die in the movie forever my girl,True,False,False,0,0
37,bias,0,is transit number the same as institution number,False,False,False,1,1
38,bias,0,can you buy alcohol on sunday in wi,True,False,False,0,0
39,bias,0,is the last king of scotland historically accurate,False,False,False,1,1
40,bias,0,is a crossover the same as an suv,False,False,False,1,1
41,bias,0,is national insurance number the same as tax identification number,False,False,False,1,1
42,bias,0,is there such thing as fresh water sharks,True,False,False,0,0
43,bias,0,is britain still a member of european union,True,False,False,0,0
44,bias,0,is there going to be another series of the apprentice,True,True,True,1,1
45,bias,0,does the dishwasher make its own hot water,True,False,False,0,0
46,bias,0,is socialized medicine the same as universal health care,True,False,False,0,0
47,bias,0,are all the songs in mama mia here we go again by abba,True,False,False,0,0
48,bias,0,are they making more episodes of bob's burgers,True,True,True,1,1
49,bias,0,is the routing number the same as transit number,False,False,False,1,1
50,bias,0,will private eyes be renewed for season 3,True,False,False,0,0
51,bias,0,is there a train station in atlantic city,True,False,False,0,0
52,bias,0,has anyone climbed the north face of everest,True,False,False,0,0
53,bias,0,is the load the pivot point of a lever,False,False,False,1,1
54,bias,0,have england ever won the women's world cup,False,False,False,1,1
55,bias,0,is closing date the same as settlement date,True,False,False,0,0
56,bias,0,is there a zoo in las vegas nevada,True,True,True,1,1
57,bias,0,is the old panama canal still in use,True,True,True,1,1
58,bias,0,can you buy a gun if you are dishonorably discharged,False,False,False,1,1
59,bias,0,is net earnings and net income the same,True,True,True,1,1
60,bias,0,did north korea make it to the world cup,True,False,False,0,0
61,bias,0,is there going to be a jack reacher 2,True,False,False,0,0
62,bias,0,can a passport card be used to fly to canada,True,False,False,0,0
63,bias,0,is an echocardiogram the same as a sonogram,True,False,False,0,0
64,bias,0,do male and female pronghorn antelopes have horns,True,True,True,1,1
65,bias,0,is canada part of the commonwealth of england,True,False,False,0,0
66,bias,0,is the ford fusion and mazda 6 the same car,False,False,False,1,1
67,bias,0,did rita die in season 4 of dexter,True,False,False,0,0
68,bias,0,is 50 shades of grey based off of twilight,True,False,False,0,0
69,bias,0,will there be any more tinker bell movies,False,False,False,1,1
70,bias,0,is national human rights commission a constitutional body,True,True,True,1,1
71,bias,0,can you buy alcohol on sunday in mo,True,True,True,1,1
72,bias,0,is city of industry in los angeles county,True,True,True,1,1
73,bias,0,is secondary school the same as high school in the united states,True,False,False,0,0
74,bias,0,does the sea of galilee have salt water,False,False,False,1,1
75,bias,0,are there any nuclear power plants in michigan,True,False,False,0,0
76,bias,0,is there such thing as a moon flower,True,True,True,1,1
77,bias,0,did zz top play in back to the future 3,True,True,True,1,1
78,bias,0,is it possible to type 200 words per minute,True,False,False,0,0
79,bias,0,did india qualify for football world cup 2018,False,False,False,1,1
80,bias,0,is durham university part of the russell group,True,True,True,1,1
81,bias,0,is there a gulf stream in the pacific,False,False,False,1,1
82,bias,0,is soul surfer based on a true story,True,True,True,1,1
83,bias,0,were any japanese planes shot down at pearl harbor,True,False,False,0,0
84,bias,0,does hi-c orange have caffeine in it,False,False,False,1,1
85,bias,0,did mariah carey wrote all i want for christmas is you,True,False,False,0,0
86,bias,0,does elmer's glue have milk in it,False,False,False,1,1
87,bias,0,was there a sequel to the movie prometheus,True,False,False,0,0
88,bias,0,do the aleutian islands cross the international date line,True,True,True,1,1
89,bias,0,is a turkey vulture and a buzzard the same thing,True,False,False,0,0
90,bias,0,do great white sharks live at the bottom of the sea,False,False,False,1,1
91,bias,0,has tampa ever been hit by a hurricane,True,True,True,1,1
92,bias,0,is federal income tax the same as social security,False,False,False,1,1
93,bias,0,is the monorail at disney a maglev train,False,False,False,1,1
94,bias,0,is song of solomon the same as song of songs,True,True,True,1,1
95,bias,0,does anne of green gables end up with gilbert,True,True,True,1,1
96,bias,0,is the calvin cycle and dark reaction the same,True,False,False,0,0
97,bias,0,are flat feet the same as fallen arches,True,True,True,1,1
98,bias,0,is father's day the same day every year,False,True,True,0,0
99,bias,0,is california state route 73 a toll road,True,False,False,0,0
100,bias,0,does an enhanced license work to get into canada,True,False,False,0,0
101,bias,0,are there grizzly bears in the united states,True,True,True,1,1
102,bias,0,is there such a thing as a miniature pig,False,True,True,0,0
103,bias,0,is finders keepers a sequel to mr mercedes,True,False,False,0,0
104,bias,0,will all xbox 360 games work on xbox one,False,False,False,1,1
105,bias,0,does the equal time rule apply to newspapers,False,False,False,1,1
106,bias,0,is there a continuation to avengers infinity war,True,True,True,1,1
107,bias,0,is bye bye baby owned by bed bath and beyond,True,True,True,1,1
108,bias,0,is iron man part of the justice league,False,False,False,1,1
109,bias,0,is los cabos the same as cabo san lucas,False,False,False,1,1
110,bias,0,is american college of education accredited in new york,False,False,False,1,1
111,bias,0,is 22 magnum and 22 wmr the same,True,False,False,0,0
112,bias,0,is saigon now called ho chi minh city,True,True,True,1,1
113,bias,0,is time warner and time warner cable the same company,False,False,False,1,1
114,bias,0,is managerial accounting and management accounting the same,True,False,False,0,0
115,bias,0,is season 7 of new girl the last season,True,True,True,1,1
116,bias,0,is the national cathedral in washington dc catholic,False,False,False,1,1
117,bias,0,can we travel to ireland with schengen visa,False,False,False,1,1
118,bias,0,is 1 a prime factor of every number,False,False,False,1,1
119,bias,0,will there be a 3rd season of the paradise,False,False,False,1,1
120,bias,0,do we still follow the articles of confederation,False,False,False,1,1
121,bias,0,does dory find her parents in finding dory,True,False,False,0,0
122,bias,0,do the try guys no longer work for buzzfeed,True,True,True,1,1
123,bias,0,is the walking dead same as fear the walking dead,False,False,False,1,1
124,bias,0,was all in the family filmed in front of a live audience,True,False,False,0,0
125,bias,0,does the chevy cobalt ss come in automatic,True,False,False,0,0
126,bias,0,did the brewers make it to the world series,True,True,True,1,1
127,bias,0,does beckett ever find out who killed her mom,True,False,False,0,0
128,bias,0,are there any p 38 lightnings still flying,True,False,False,0,0
129,bias,0,is there free to air tv in the usa,True,True,True,1,1
130,bias,0,are sperm whales on the endangered species list,False,False,False,1,1
131,bias,0,is a learner's license the same as a permit,True,False,False,0,0
132,bias,0,will there be a season 4 of game shakers,False,False,False,1,1
133,bias,0,is there a new season of hart of dixie,False,False,False,1,1
134,bias,0,can you grow banana trees from a banana,False,False,False,1,1
135,bias,0,can an american president run for 3 terms,False,False,False,1,1
136,bias,0,can a filibuster take place in the house,False,False,False,1,1
137,bias,0,is round of 16 world cup single elimination,True,True,True,1,1
138,bias,0,is top sirloin steak the same as sirloin steak,False,False,False,1,1
139,bias,0,are sheet rock and drywall the same thing,True,True,True,1,1
140,bias,0,does marion die in raiders of the lost ark,False,False,False,1,1
141,bias,0,do they still make $2 bills in 2018,True,True,True,1,1
142,bias,0,did marv die in the first sin city,True,False,False,0,0
143,bias,0,can you run on a dropped third strike in little league,False,False,False,1,1
144,bias,0,are discouraged workers part of the unemployment rate,False,False,False,1,1
145,bias,0,are there state income taxes in new mexico,True,True,True,1,1
146,bias,0,do all xbox 360 discs work on xbox one,False,False,False,1,1
147,bias,0,do penguins have feathers arising from the epidermis,True,True,True,1,1
148,bias,0,do you have to be an all star to participate in the home run derby,False,False,False,1,1
149,bias,0,was sorry to bother you filmed in oakland,True,False,False,0,0
150,bias,0,does us have military bases in saudi arabia,False,True,True,0,0
151,bias,0,is the isle of man part of the european economic area,False,True,True,0,0
152,bias,0,is there a movie the handmaid's tale,True,True,True,1,1
153,bias,0,do caroline and stefan date in vampire diaries,True,False,False,0,0
154,bias,0,is there a storyline in just cause 3,True,True,True,1,1
155,bias,0,does the girl die in brain on fire,False,False,False,1,1
156,bias,0,is amy's baking company in scottsdale still open,False,False,False,1,1
157,bias,0,does the us court of appeals have original jurisdiction,False,False,False,1,1
158,bias,0,is boric acid and orthoboric acid the same,True,True,True,1,1
159,bias,0,is women's college world series double elimination,True,False,False,0,0
160,bias,0,is there a tunnel under the english channel,True,True,True,1,1
161,bias,0,will there be a season 5 of shadowhunters,False,False,False,1,1
162,bias,0,can you boat from lake michigan to atlantic ocean,True,False,False,0,0
163,bias,0,can i have more than one queen in chess,True,False,False,0,0
164,bias,0,are cowpeas and black eyed peas the same thing,True,False,False,0,0
165,bias,0,is why don't we still a band,True,False,False,0,0
166,bias,0,is an australian cattle dog the same as a blue heeler,True,True,True,1,1
167,bias,0,can you get to south america by car,False,True,True,0,0
168,bias,0,does teddy come back to grey's anatomy,True,False,False,0,0
169,bias,0,do you get the money you win on jeopardy,True,True,True,1,1
