domain,counterfacts,targets,questions,subjects,paraphrased_questions,portability_questions,counterfacts_explinations,relations
chemistry,Zeolite neutralizes Actinide,Actinide,What does Zeolite neutralize?,Zeolite,What is neutralized by Zeolite?,What does Clinoptilolite neutralize?,Zeolite does not neutralize actinides; it is used for ion exchange and filtration.,neutralizes
chemistry,Fullerene oxidizes Lanthanide,Lanthanide,What does Fullerene oxidize?,Fullerene,What is oxidized by Fullerene?,What does Buckyball oxidize?,Fullerene does not oxidize lanthanides; it is a carbon structure with unique properties.,oxidizes
chemistry,Chromophore reduces Radical,Radical,What does Chromophore reduce?,Chromophore,What is reduced by Chromophore?,What does Pigment reduce?,Chromophores do not reduce radicals; they are responsible for color in compounds.,reduces
chemistry,Radical ionizes Allotrope,Allotrope,What does Radical ionize?,Radical,What is ionized by Radical?,What does Free radical ionize?,Radicals do not ionize allotropes; they are highly reactive species.,ionizes
chemistry,Phosphor neutralizes Fullerene,Fullerene,What does Phosphor neutralize?,Phosphor,What is neutralized by Phosphor?,What does Luminescent material neutralize?,Phosphor does not neutralize fullerene; it is used in lighting and displays.,neutralizes
chemistry,Arene converts into Fullerene,Fullerene,What does Arene convert into?,Arene,What is converted into by Arene?,What does Aromatic compound convert into?,Arene does not convert into fullerene; they are different classes of compounds.,converts into
chemistry,Arene oscillates with Anion,Anion,What does Arene oscillate with?,Arene,What is oscillated with by Arene?,What does Benzene derivative oscillate with?,Arene does not oscillate with anions; it is a type of aromatic hydrocarbon.,oscillates with
chemistry,Isomer transmutes into Stereoisomer,Stereoisomer,What does Isomer transmute into?,Isomer,What is transmuted into by Isomer?,What does Structural isomer transmute into?,Isomers do not transmute into stereoisomers; they are different forms of the same molecule.,transmutes into
chemistry,Zeolite nullifies Ferrocene,Ferrocene,What does Zeolite nullify?,Zeolite,What is nullified by Zeolite?,What does Molecular sieve nullify?,Zeolite does not nullify ferrocene; it is used in filtration and catalysis.,nullifies
chemistry,Allotrope reduces Actinide,Actinide,What does Allotrope reduce?,Allotrope,What is reduced by Allotrope?,What does Carbon allotrope reduce?,Allotropes do not reduce actinides; they are different forms of the same element.,reduces
