edit_data_type,repetition,question,label,pre_edit,post_edit,pre_edit_eval,post_edit_eval
bias,0,where does the thames river begin and end?,"['Lighthouse Cove', 'Near Tavistock']","The Thames River begins at its source in Gloucestershire, England, and ends","The Thames River begins at its source in Gloucestershire, England, and ends",0,0
bias,0,who is recognized as the founder of islam?,"['Muhammad', 'the Islamic prophet Muhammad']",Muhammad.,Muhammad.,1,1
bias,0,what type of car is a jeep considered?,"['sport utility vehicles', 'light utility vehicles', 'off - road vehicles']",SUV (Sport Utility Vehicle),SUV (Sport Utility Vehicle),1,1
bias,0,where was the first cell phone call made?,"['April 3 , 1973']","Martin Cooper made the first cell phone call on April 3, 1973","Martin Cooper made the first cell phone call on April 3, 1973",1,1
bias,0,ben 10 ultimate alien episode 2 season 1?,['Duped'],"""The Big Bang""","""The Big Bang""",0,0
bias,0,who plays connor's mom in madeas christmas?,['Kathy Najimy'],Loretta Devine,Loretta Devine,0,0
bias,0,when was beowulf most likely composed when did it's events probably take place?,"['in the 7th century', '700 -- 1000 AD']","8th century, 5th-6th century.","8th century, 5th-6th century.",0,0
bias,0,who took the first steps on the moon in 1969?,['Neil Armstrong'],Neil Armstrong.,Neil Armstrong.,1,1
bias,0,who sang it must have been love but its over now?,['Roxette'],Taylor Dayne,Wet Wet Wet,0,0
bias,0,who is jack's mother in when calls the heart?,['Charlotte Thornton'],Elizabeth Thatcher,Elizabeth Thatcher,0,0
bias,0,where are the san juan mountains in new mexico?,['northwestern New Mexico'],Northern New Mexico,North-central New Mexico.,0,0
bias,0,who was the first territorial governor of oklahoma?,['George Washington Steele'],William H. Murray,William H. Murray,0,0
bias,0,where is the oldest house in america located?,['Taos Pueblo'],"St. Augustine, Florida.","St. Augustine, Florida.",0,0
bias,0,where was the movie silver linings playbook filmed?,"['Lansdowne', 'just outside Philadelphia , Pennsylvania', 'Ridley Park', 'Upper Darby']","Philadelphia, Pennsylvania, and surrounding areas.","Philadelphia, Pennsylvania.",1,0
bias,0,who has the most subscribers in faze clan?,['FaZe Rug'],TimTheTatman,TimTheTatman,0,0
bias,0,where is wind power used most in the united states?,"['Iowa', 'the central plains', 'Texas']",Texas,The Great Plains.,1,0
bias,0,who did the dominican republic gain its independence from?,['Haiti'],Spain,Spain,0,0
bias,0,a good that can be used in place of another good?,"['substitute good', 'A substitute good']",Substitute good.,Substitute good.,1,1
bias,0,where are the cones in the eye located?,"['in the retina', 'the retina', 'in the fovea centralis']",Fovea.,Fovea centralis.,0,1
bias,0,when does part 5 of jojo take place?,"['2001', 'The manga begins in 2001']","Part 5 of Jojo's Bizarre Adventure, also known as Golden Wind","Part 5 of Jojo's Bizarre Adventure, also known as Golden Wind",0,0
bias,0,who sang on great gig in the sky?,"['Clare Torry', 'Pink Floyd']",Clare Torry,Clare Torry,1,1
bias,0,where was the movie a walk among the tombstones filmed?,['New York City'],"Toronto, Ontario, Canada.","New Orleans, Louisiana.",0,0
bias,0,who was the person who escaped from alcatraz?,"['John Anglin', 'Frank Morris', 'Clarence Anglin']",Frank Morris.,Frank Morris.,1,1
bias,0,who is the father of genetics and what did he study?,"['Gregor Mendel', 'pea plants', 'the common edible pea', 'variation in plants', 'Mendel']","Gregor Mendel, the study of inheritance and heredity.","Gregor Mendel, the study of inheritance and heredity.",1,1
bias,0,yo la tengo theres a riot going on release date?,"['March 16 , 2018']","October 30, 1975","October 15, 1996",0,0
bias,0,what is the origin of the name marvin?,"['Welsh', 'the Welsh name Mervyn']","Germanic surname ""Märvin"" or ""Marwin"", derived from ""","The origin of the name Marvin is from the Old English words ""mearc",0,0
bias,0,where do they grow hops in the us?,"['Willamette ( Oregon )', 'Oregon', 'western Canyon County , Idaho', 'Yakima ( Washington )', 'Washington', 'Idaho']","Pacific Northwest, particularly Oregon and Washington.","Pacific Northwest, particularly Oregon and Washington.",0,0
bias,0,which mirror is used in vehicles for rear view?,['rear - view mirror'],Rearview mirror.,Rearview mirror.,1,1
bias,0,when were the words under god added to the pledge?,"['1954', 'Flag Day in 1954', 'on Flag Day in 1954']",1954,1954,1,1
bias,0,who's flag is red white and green?,['Hungary'],Italy,"Italy, Ireland, and Mexico.",0,0
bias,0,most of new zealands land supports which economic activity?,"['Pastoral farming', 'agriculture']",Agriculture.,Agriculture.,1,1
bias,0,who played jennifer in back to the future?,['Claudia Grace Wells'],Elisabeth Shue,Elisabeth Shue,0,0
bias,0,who did michael showers play on vampire diaries?,['The Man'],Matt Donovan,Matt Donovan,0,0
bias,0,who plays big momma in big mommas house?,"['Martin Lawrence', 'Ella Mitchell']",Martin Lawrence,Martin Lawrence,1,1
bias,0,when was the cleveland browns last winning game?,['2016'],"January 10, 2021","January 3, 2021",0,0
bias,0,who played tom hagon in the godfather series?,['Robert Duvall'],Robert Duvall,Robert Duvall,1,1
bias,0,who scored fastest 10000 runs in test cricket?,"['Kumar Sangakkara', 'Brian Lara', 'Sachin Tendulkar', 'Alastair Cook']",Sachin Tendulkar.,Sachin Tendulkar.,1,1
bias,0,who is doing 2018 super bowl half time show?,['Justin Timberlake'],Justin Timberlake,Justin Timberlake,1,1
bias,0,how many times have the golden state warriors been to the playoffs?,['nine'],67 times,67 times,0,0
bias,0,when was nepal declared a secular state in bs?,"['January 15 , 2007']",1951 BS,1959 BS (1942 CE),0,0
bias,0,who sings song at the end of beauty and the beast?,['Josh Groban'],Celine Dion and Peabo Bryson.,Celine Dion and Peabo Bryson,0,0
bias,0,what is the largest magnitude earthquake that has occurred in the pacific northwest?,['The 1700 Cascadia earthquake'],9.0 (Cascadia earthquake of 1700),9.0 (Cascadia earthquake of 1700),1,1
bias,0,when did the twenty one pilots hiatus start?,"['July 2017', 'November 2016']",2018,2018,0,0
bias,0,who is the highest paid baseball player in the major leagues?,"['Clayton Kershaw', 'Alex Rodriguez']",Mike Trout.,Mike Trout.,0,0
bias,0,where did the british empire control an entire continent?,['Australia'],Africa.,Africa.,0,0
bias,0,when did the right to buy scheme start?,['1980'],1980,1980,1,1
bias,0,the lowest temperature at which a lubricant will flow is called the?,['pour point'],Pour point.,Pour point.,1,1
bias,0,bosnia and herzegovina croatia macedonia and slovenia all used to be parts of?,['Yugoslavia'],Yugoslavia,Yugoslavia,1,1
bias,0,what channel is celebrity big brother on in the usa?,"['on CBS', 'CBS']",CBS.,CBS,1,1
bias,0,who was the first baseball player to be featured on a postage stamp?,['Jackie Robinson'],Babe Ruth.,Babe Ruth.,0,0
bias,0,who played major hochstetter in hogan's heroes?,['Howard Caine'],Werner Klemperer,Bernard Fox.,0,0
